idShowtime|idMovie|idRoom|onScreenDateTime
idShowtime0000121|idMovie0004|idRoom04|04/01/2025-18:00
idShowtime0000122|idMovie0004|idRoom04|04/01/2025-20:00
idShowtime0000123|idMovie0004|idRoom04|04/01/2025-22:00
idShowtime0000124|idMovie0004|idRoom04|05/01/2025-00:00
idShowtime0000125|idMovie0004|idRoom04|05/01/2025-02:00
idShowtime0000126|idMovie0004|idRoom04|05/01/2025-04:00
idShowtime0000127|idMovie0004|idRoom04|05/01/2025-06:00
idShowtime0000128|idMovie0004|idRoom04|05/01/2025-08:00
idShowtime0000129|idMovie0004|idRoom04|05/01/2025-10:00
idShowtime0000130|idMovie0004|idRoom04|05/01/2025-12:00
idShowtime0000131|idMovie0004|idRoom04|05/01/2025-14:00
idShowtime0000132|idMovie0004|idRoom04|05/01/2025-16:00
idShowtime0000133|idMovie0004|idRoom04|05/01/2025-18:00
idShowtime0000134|idMovie0004|idRoom04|05/01/2025-20:00
